category_id,category
1,11.11 Campaign
2,1980Books
3,Album - Khung Hình
4,Bao Tập - Bao Sách
5,Bilingual Dictionary
6,Bookmark
7,Bài học kinh doanh
8,Bóp Viết - Hộp Bút
9,Bút Chì Màu - Bút Lông Màu - Sáp Màu
10,Bút bi - Ruột bút bi
11,Bút chì - Ruột bút chì
12,Bút dạ quang
13,Bút gel - Bút nước
14,Bút lông bảng
15,Băng Keo - Keo Hồ - Cắt Keo
16,Bảng Viết
17,Ca dao - Tục ngữ
18,Chì Màu - Sáp Màu
19,Chăm sóc sức khỏe
20,Classic
21,Các loại giấy khác
22,Cắm Viết Các Loại
23,Cọ Vẽ - Màu Nước
24,Du ký
25,Dụng cụ học sinh khác
26,Dụng cụ văn phòng khác
27,ELTs
28,Elementary School: Grades 1 - 5
29,English Language Dictionary
30,File Hồ Sơ - Bìa Hồ Sơ
31,Flashcard Luyện Thi Tiếng Anh
32,Flashcards Cho Bé
33,Giáo Trình Đại Học - Cao Đẳng
34,Giấy Notes
35,Giấy in - Fax - Photo
36,"Grammar, vocabulary & skills"
37,Gọt bút chì - Gôm Tẩy
38,High School: Grades 10 - 12
39,"History, Geography & Cultures"
40,Human & Biology Science
41,Kiến Thức Bách Khoa
42,Kiến thức - Bách khoa
43,Kéo - Dao Rọc Giấy
44,Kẹp Bướm - Dây Đeo
45,Light novel
46,Luật - Văn Bản Luật
47,Lý Luận Chính Trị
48,Lĩnh vực khác
49,Lập Trình
50,Lịch Sử Thế Giới
51,Lịch Sử Việt Nam
52,Management - Leadership
53,Middle School: Grades 6 - 9
54,Motivational
55,Máy Tính Khoa Học
56,Máy tính bỏ túi
57,Máy tính để bàn
58,Móc Khóa - Phụ Kiện Trang Trí
59,Mực Các Loại
60,Mỹ Thuật - Kiến Trúc
61,Phóng sự - Ký sự - Bút ký
62,Phụ kiện - Vật liệu trang trí
63,Quà tặng trang trí khác
64,Sách Chiêm Tinh - Horoscope
65,Sách Danh Nhân
66,Sách Dinh Dưỡng - Sức Khỏe Cho Bé
67,Sách Giáo Khoa Cấp 1
68,Sách Giáo Khoa Cấp 2
69,Sách Giáo Khoa Cấp 3
70,Sách Hôn Nhân - Giới Tính
71,Sách Học Tiếng Anh
72,Sách Học Tiếng Hoa
73,Sách Học Tiếng Hàn
74,Sách Học Tiếng Nhật
75,Sách Khoa Học - Kỹ Thuật
76,Sách Luyện Thi Đại Học - Cao Đẳng
77,Sách Làm Cha Mẹ
78,Sách Làm Đẹp
79,Sách Marketing - Bán hàng 
80,Sách Nấu ăn
81,Sách Phong Thủy - Kinh Dịch
82,Sách Phong Tục - Tập Quán
83,Sách Thai Giáo
84,Sách Tâm Lý Tuổi Teen
85,Sách Tô Màu Dành Cho Người Lớn
86,Sách Tôn Giáo - Tâm Linh
87,Sách Y Học
88,Sách doanh nhân
89,Sách giáo dục
90,Sách hướng nghiệp - Kỹ năng mềm
91,Sách khởi nghiệp
92,Sách kinh tế học
93,Sách kỹ năng làm việc
94,Sách nghệ thuật sống đẹp
95,Sách quản trị nhân lực
96,"Sách quản trị, lãnh đạo"
97,Sách tham khảo cấp I
98,Sách tham khảo cấp II
99,Sách tham khảo cấp III
100,"Sách tài chính, kế toán"
101,"Sách tài chính, tiền tệ"
102,Sách tư duy - Kỹ năng sống
103,Sách Địa Danh - Du Lịch
104,Sách ảnh
105,Sáp - Chì màu cho bé
106,Sổ Tay Các Loại
107,Thiệp - Bưu ảnh
108,Thơ
109,Thẻ luyện thi
110,Thể Dục - Thể Thao
111,Tin Học Văn Phòng
112,Tiểu Thuyết
113,Tiểu sử - Hồi ký
114,Tranh Truyện
115,Triết Học
116,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu
117,"Truyện Tranh, Manga, Comic"
118,Truyện cổ tích
119,Truyện cổ tích - Ngụ ngôn
120,Truyện dài
121,Truyện kinh dị
122,Truyện kiếm hiệp
123,Truyện kể cho bé
124,Truyện ngôn tình
125,Truyện ngắn - Tản văn - Tạp Văn
126,Truyện tranh Ehon
127,Truyện tranh thiếu nhi
128,Truyện trinh thám
129,Truyện đam mỹ
130,Tác phẩm kinh điển
131,Tô màu - Luyện chữ  
132,Tạp Chí - Catalogue
133,Tập Học Sinh
134,Từ Điển Tiếng Nhật
135,Từ Điển Tiếng Việt
136,University - College
137,Văn học thiếu nhi
138,Âm Nhạc - Điện Ảnh
139,Đạo đức - Kỹ năng sống
